,Name,Industry,paid_leave_weeks_woman,unpaid_leave_weeks_woman,paid_leave_weeks_man,unpaid_leave_weeks_man
422,Army (British),Government: Federal,39.0,13.0,2.0,
423,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
424,Zurich,Insurance: Life,29.0,,0.0,
425,Etsy,Technology: Consumer Internet,26.0,,26.0,
426,Spotify,Technology: Consumer Internet,26.0,,26.0,
427,Adobe Systems,Technology: Software,26.0,6.0,10.0,
428,AO.com,Retail: Online,26.0,,,
429,Morrison & Foerster LLP,Law Firm,26.0,,,
430,Organizer Inc.,Technology: Software,26.0,,,
431,Worldpay,Technology: Payments,26.0,,,
432,Zynga,Technology: Gaming,26.0,12.0,12.0,
433,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
434,72andsunny,Advertising,24.0,,4.0,
435,Motorola Mobility,Technology: Manufacturing,24.0,,,
436,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
437,ZestFinance,Finance: Loans,24.0,,,
438,World First,Services: Other,24.0,4.0,2.0,
439,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
440,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
441,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
442,Army (British),Government: Federal,39.0,13.0,2.0,
443,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
444,Zurich,Insurance: Life,29.0,,0.0,
445,Etsy,Technology: Consumer Internet,26.0,,26.0,
446,Spotify,Technology: Consumer Internet,26.0,,26.0,
447,Adobe Systems,Technology: Software,26.0,6.0,10.0,
448,AO.com,Retail: Online,26.0,,,
449,Morrison & Foerster LLP,Law Firm,26.0,,,
450,Organizer Inc.,Technology: Software,26.0,,,
451,Worldpay,Technology: Payments,26.0,,,
452,Zynga,Technology: Gaming,26.0,12.0,12.0,
453,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
454,72andsunny,Advertising,24.0,,4.0,
455,Motorola Mobility,Technology: Manufacturing,24.0,,,
456,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
457,ZestFinance,Finance: Loans,24.0,,,
458,World First,Services: Other,24.0,4.0,2.0,
459,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
460,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
461,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
462,Army (British),Government: Federal,39.0,13.0,2.0,
463,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
464,Zurich,Insurance: Life,29.0,,0.0,
465,Etsy,Technology: Consumer Internet,26.0,,26.0,
466,Spotify,Technology: Consumer Internet,26.0,,26.0,
467,Adobe Systems,Technology: Software,26.0,6.0,10.0,
468,AO.com,Retail: Online,26.0,,,
469,Morrison & Foerster LLP,Law Firm,26.0,,,
470,Organizer Inc.,Technology: Software,26.0,,,
471,Worldpay,Technology: Payments,26.0,,,
472,Zynga,Technology: Gaming,26.0,12.0,12.0,
473,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
474,72andsunny,Advertising,24.0,,4.0,
475,Motorola Mobility,Technology: Manufacturing,24.0,,,
476,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
