,Name,Industry,paid_leave_weeks_woman,unpaid_leave_weeks_woman,paid_leave_weeks_man,unpaid_leave_weeks_man
782,Army (British),Government: Federal,39.0,13.0,2.0,
783,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
784,Zurich,Insurance: Life,29.0,,0.0,
785,Etsy,Technology: Consumer Internet,26.0,,26.0,
786,Spotify,Technology: Consumer Internet,26.0,,26.0,
787,Adobe Systems,Technology: Software,26.0,6.0,10.0,
788,AO.com,Retail: Online,26.0,,,
789,Morrison & Foerster LLP,Law Firm,26.0,,,
790,Organizer Inc.,Technology: Software,26.0,,,
791,Worldpay,Technology: Payments,26.0,,,
792,Zynga,Technology: Gaming,26.0,12.0,12.0,
793,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
794,72andsunny,Advertising,24.0,,4.0,
795,Motorola Mobility,Technology: Manufacturing,24.0,,,
796,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
797,ZestFinance,Finance: Loans,24.0,,,
798,World First,Services: Other,24.0,4.0,2.0,
799,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
800,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
801,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
802,Army (British),Government: Federal,39.0,13.0,2.0,
803,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
804,Zurich,Insurance: Life,29.0,,0.0,
805,Etsy,Technology: Consumer Internet,26.0,,26.0,
806,Spotify,Technology: Consumer Internet,26.0,,26.0,
807,Adobe Systems,Technology: Software,26.0,6.0,10.0,
808,AO.com,Retail: Online,26.0,,,
809,Morrison & Foerster LLP,Law Firm,26.0,,,
810,Organizer Inc.,Technology: Software,26.0,,,
811,Worldpay,Technology: Payments,26.0,,,
812,Zynga,Technology: Gaming,26.0,12.0,12.0,
813,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
814,72andsunny,Advertising,24.0,,4.0,
815,Motorola Mobility,Technology: Manufacturing,24.0,,,
816,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
817,ZestFinance,Finance: Loans,24.0,,,
818,World First,Services: Other,24.0,4.0,2.0,
819,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
